time,H986,H1222,H1827,H3434
152528401.0000,31.27204451,31.65084367,31.97176211,32.17009705
153843301.0000,31.27204414,31.65084323,31.97176162,32.17009654
155158201.0000,31.27204385,31.65084288,31.97176124,32.17009616
156473101.0000,31.27204348,31.65084245,31.97176075,32.17009566
157788001.0000,31.27204319,31.65084211,31.97176038,32.17009528
159102901.0000,31.27204282,31.65084167,31.97175990,32.17009479
160417801.0000,31.27204253,31.65084134,31.97175953,32.17009442
161732701.0000,31.27204217,31.65084091,31.97175905,32.17009394
163047601.0000,31.27204187,31.65084057,31.97175869,32.17009357
164362501.0000,31.27204151,31.65084015,31.97175822,32.17009309
165677401.0000,31.27204122,31.65083982,31.97175787,32.17009273
166992301.0000,31.27204086,31.65083940,31.97175740,32.17009226
168307201.0000,31.27204057,31.65083907,31.97175705,32.17009191
169622101.0000,31.27204022,31.65083865,31.97175659,32.17009144
170937001.0000,31.27203993,31.65083833,31.97175624,32.17009109
172251901.0000,31.27203957,31.65083791,31.97175579,32.17009063
173566801.0000,31.27203929,31.65083759,31.97175544,32.17009029
174881701.0000,31.27203893,31.65083718,31.97175500,32.17008983
176196601.0000,31.27203865,31.65083686,31.97175466,32.17008949
177511501.0000,31.27203829,31.65083646,31.97175421,32.17008905
178826401.0000,31.27203801,31.65083614,31.97175388,32.17008871
180141301.0000,31.27203766,31.65083574,31.97175344,32.17008827
181456201.0000,31.27203738,31.65083542,31.97175311,32.17008793
182771101.0000,31.27203703,31.65083503,31.97175267,32.17008750
184086001.0000,31.27203675,31.65083471,31.97175235,32.17008717
185400901.0000,31.27203640,31.65083432,31.97175192,32.17008674
186715801.0000,31.27203612,31.65083401,31.97175159,32.17008641
188030701.0000,31.27203578,31.65083362,31.97175117,32.17008599
189345601.0000,31.27203550,31.65083331,31.97175085,32.17008567
190660501.0000,31.27203516,31.65083292,31.97175043,32.17008525
191975401.0000,31.27203488,31.65083262,31.97175011,32.17008493
193290301.0000,31.27203454,31.65083224,31.97174970,32.17008451
194605201.0000,31.27203427,31.65083193,31.97174938,32.17008420
195920101.0000,31.27203393,31.65083155,31.97174897,32.17008379
197235001.0000,31.27203365,31.65083125,31.97174866,32.17008348
198549901.0000,31.27203332,31.65083088,31.97174825,32.17008307
199864801.0000,31.27203305,31.65083058,31.97174794,32.17008276
201179701.0000,31.27203271,31.65083020,31.97174754,32.17008236
202494601.0000,31.27203244,31.65082991,31.97174724,32.17008206
203809501.0000,31.27203211,31.65082954,31.97174684,32.17008166
205124401.0000,31.27203184,31.65082924,31.97174654,32.17008136
206439301.0000,31.27203151,31.65082887,31.97174614,32.17008097
207754201.0000,31.27203124,31.65082858,31.97174584,32.17008067
209069101.0000,31.27203091,31.65082822,31.97174545,32.17008028
210384001.0000,31.27203064,31.65082793,31.97174516,32.17007998
211698901.0000,31.27203032,31.65082757,31.97174477,32.17007960
213013801.0000,31.27203005,31.65082728,31.97174447,32.17007931
214328701.0000,31.27202973,31.65082692,31.97174409,32.17007892
