time,T1038,T2571,T4587,T6376,T7640,T9105,T9625,T9989,T10169
46021501.00000,20.99990245,20.99845427,19.99513794,14.39553054,16.21653118,16.00000766,16.00000042,16.00000004,16.00000143
47336401.00000,20.99990189,20.99917329,20.37551274,14.44366135,16.28478647,16.00000768,16.00000042,16.00000004,16.00000143
48651301.00000,20.99990041,20.99942613,20.62087448,14.57154816,16.36705587,16.00000770,16.00000041,16.00000004,16.00000143
49966201.00000,20.99989988,20.99951178,20.77362418,14.83706106,16.46364774,16.00000772,16.00000041,16.00000004,16.00000142
51281101.00000,13.40190865,19.22545404,20.83266430,15.29329103,16.57375882,16.00000774,16.00000040,16.00000004,16.00000142
52596001.00000,11.38798365,16.35090330,20.74781649,15.87286772,16.69530515,16.00000774,16.00000040,16.00000004,16.00000141
53910901.00000,11.05487859,13.86196757,20.35818745,16.50837135,16.82530289,16.00000773,16.00000039,16.00000004,16.00000141
55225801.00000,11.00768797,12.31937337,19.58338452,17.14852287,16.96044182,16.00000771,16.00000039,16.00000004,16.00000140
56540701.00000,11.00113589,11.54566272,18.44696101,17.75489716,17.09500483,16.00000768,16.00000038,16.00000004,16.00000139
57855601.00000,11.00018335,11.20903842,17.08613402,18.29402496,17.22410170,16.00000763,16.00000037,16.00000004,16.00000138
59170501.00000,11.00003297,11.07610694,15.68849483,18.73352599,17.34358268,16.00000757,16.00000037,16.00000004,16.00000137
60485401.00000,11.00000714,11.02690594,14.41753817,19.03756199,17.45070850,16.00000749,16.00000036,16.00000004,16.00000136
61800301.00000,11.00000179,11.00942830,13.37028239,19.19490579,17.53567838,16.00000739,16.00000035,16.00000004,16.00000135
63115201.00000,11.00000081,11.00335708,12.57422107,19.18367706,17.59922346,16.00000727,16.00000035,16.00000004,16.00000134
64430101.00000,18.59798415,12.77519730,12.03715614,19.10169704,17.64230810,16.00000713,16.00000034,16.00000004,16.00000133
65745001.00000,20.61190956,15.64906904,11.82813903,18.89922578,17.66517134,16.00000697,16.00000033,16.00000004,16.00000132
67059901.00000,20.94501374,18.13779695,11.98283178,18.50397429,17.66782207,16.00000680,16.00000032,16.00000004,16.00000130
68374801.00000,20.99220506,19.68032300,12.60384849,17.94330930,17.65796097,16.00000660,16.00000031,16.00000004,16.00000129
69689701.00000,20.99875625,20.45401446,13.65553942,17.27899122,17.64443128,16.00000640,16.00000031,16.00000004,16.00000128
71004601.00000,20.99970901,20.79062850,14.96962724,16.57214661,17.62412688,16.00000619,16.00000030,16.00000004,16.00000126
72319501.00000,20.99985723,20.92355823,16.34184517,15.88231692,17.59511134,16.00000599,16.00000029,16.00000004,16.00000125
73634401.00000,20.99988192,20.97275409,17.59906264,15.27090240,17.55639142,16.00000582,16.00000028,16.00000004,16.00000123
74949301.00000,20.99988525,20.99023132,18.63888918,14.79333551,17.50856025,16.00000569,16.00000027,16.00000004,16.00000122
76264201.00000,20.99988590,20.99629748,19.43089711,14.49149971,17.45401585,16.00000558,16.00000026,16.00000004,16.00000120
77579101.00000,20.99988521,20.99838870,19.99500355,14.37677549,17.38984130,16.00000548,16.00000025,16.00000004,16.00000118
78894001.00000,20.99988519,20.99911022,20.37539119,14.42559113,17.32016987,16.00000541,16.00000023,16.00000004,16.00000117
80208901.00000,20.99988442,20.99936518,20.62076358,14.55632717,17.25045357,16.00000539,16.00000022,16.00000004,16.00000115
81523801.00000,20.99988441,20.99945412,20.77352218,14.82567768,17.19124926,16.00000545,16.00000021,16.00000003,16.00000113
