time,H1038,H2571,H4587,H6376,H7640,H9105,H9625,H9989,H10169
35502301.00000,30.50626691,30.18381729,29.90857346,29.66737766,29.35659015,29.03453894,28.73986934,28.45471896,28.18734296
36817201.00000,30.50626599,30.18381653,29.90857290,29.66737726,29.35658992,29.03453881,28.73986927,28.45471892,28.18734295
38132101.00000,30.50626465,30.18381540,29.90857205,29.66737666,29.35658957,29.03453860,28.73986915,28.45471886,28.18734293
39447001.00000,30.50626375,30.18381464,29.90857148,29.66737625,29.35658932,29.03453845,28.73986906,28.45471881,28.18734291
40761901.00000,30.50626242,30.18381352,29.90857062,29.66737562,29.35658894,29.03453822,28.73986892,28.45471873,28.18734289
42076801.00000,30.50626154,30.18381276,29.90857004,29.66737519,29.35658867,29.03453805,28.73986882,28.45471868,28.18734287
43391701.00000,30.50626023,30.18381165,29.90856917,29.66737454,29.35658826,29.03453779,28.73986866,28.45471859,28.18734284
44706601.00000,30.50625936,30.18381090,29.90856859,29.66737410,29.35658798,29.03453760,28.73986855,28.45471853,28.18734283
46021501.00000,30.50625807,30.18380978,29.90856771,29.66737343,29.35658754,29.03453732,28.73986837,28.45471844,28.18734280
47336401.00000,30.50625721,30.18380904,29.90856712,29.66737297,29.35658723,29.03453712,28.73986825,28.45471837,28.18734278
48651301.00000,30.50625593,30.18380793,29.90856623,29.66737229,29.35658677,29.03453681,28.73986806,28.45471827,28.18734275
49966201.00000,30.50625508,30.18380718,29.90856563,29.66737182,29.35658645,29.03453660,28.73986793,28.45471820,28.18734272
51281101.00000,30.50625381,30.18380608,29.90856473,29.66737111,29.35658597,29.03453627,28.73986772,28.45471809,28.18734269
52596001.00000,30.50625297,30.18380534,29.90856413,29.66737063,29.35658563,29.03453605,28.73986758,28.45471801,28.18734267
53910901.00000,30.50625172,30.18380423,29.90856322,29.66736991,29.35658512,29.03453570,28.73986736,28.45471789,28.18734263
55225801.00000,30.50625089,30.18380349,29.90856261,29.66736942,29.35658478,29.03453546,28.73986720,28.45471781,28.18734261
56540701.00000,30.50624965,30.18380239,29.90856170,29.66736869,29.35658425,29.03453510,28.73986697,28.45471768,28.18734257
57855601.00000,30.50624882,30.18380166,29.90856109,29.66736819,29.35658389,29.03453485,28.73986681,28.45471760,28.18734255
59170501.00000,30.50624759,30.18380056,29.90856017,29.66736744,29.35658334,29.03453447,28.73986657,28.45471746,28.18734251
60485401.00000,30.50624677,30.18379983,29.90855955,29.66736694,29.35658297,29.03453421,28.73986640,28.45471737,28.18734248
61800301.00000,30.50624555,30.18379873,29.90855863,29.66736617,29.35658241,29.03453382,28.73986614,28.45471724,28.18734244
63115201.00000,30.50624474,30.18379800,29.90855801,29.66736566,29.35658203,29.03453355,28.73986597,28.45471714,28.18734241
64430101.00000,30.50624353,30.18379691,29.90855708,29.66736489,29.35658145,29.03453314,28.73986570,28.45471700,28.18734237
65745001.00000,30.50624272,30.18379618,29.90855646,29.66736437,29.35658106,29.03453286,28.73986552,28.45471690,28.18734234
67059901.00000,30.50624152,30.18379509,29.90855552,29.66736359,29.35658047,29.03453244,28.73986525,28.45471675,28.18734230
68374801.00000,30.50624072,30.18379436,29.90855489,29.66736306,29.35658007,29.03453216,28.73986506,28.45471665,28.18734227
69689701.00000,30.50623952,30.18379327,29.90855396,29.66736227,29.35657947,29.03453172,28.73986478,28.45471650,28.18734222
71004601.00000,30.50623873,30.18379255,29.90855333,29.66736174,29.35657907,29.03453143,28.73986459,28.45471639,28.18734219
72319501.00000,30.50623754,30.18379146,29.90855239,29.66736094,29.35657845,29.03453099,28.73986429,28.45471623,28.18734214
73634401.00000,30.50623676,30.18379074,29.90855176,29.66736040,29.35657804,29.03453069,28.73986410,28.45471613,28.18734211
74949301.00000,30.50623558,30.18378966,29.90855081,29.66735960,29.35657742,29.03453024,28.73986380,28.45471596,28.18734206
76264201.00000,30.50623479,30.18378894,29.90855018,29.66735906,29.35657700,29.03452994,28.73986360,28.45471586,28.18734203
77579101.00000,30.50623362,30.18378786,29.90854923,29.66735824,29.35657636,29.03452948,28.73986329,28.45471569,28.18734198
78894001.00000,30.50623284,30.18378714,29.90854860,29.66735770,29.35657594,29.03452917,28.73986309,28.45471558,28.18734195
80208901.00000,30.50623168,30.18378607,29.90854765,29.66735688,29.35657530,29.03452870,28.73986278,28.45471541,28.18734190
81523801.00000,30.50623091,30.18378535,29.90854702,29.66735633,29.35657487,29.03452838,28.73986257,28.45471529,28.18734187
82838701.00000,30.50622975,30.18378428,29.90854607,29.66735551,29.35657422,29.03452791,28.73986225,28.45471512,28.18734181
84153601.00000,30.50622898,30.18378357,29.90854544,29.66735496,29.35657378,29.03452759,28.73986204,28.45471501,28.18734178
85468501.00000,30.50622783,30.18378250,29.90854448,29.66735413,29.35657313,29.03452711,28.73986172,28.45471483,28.18734173
86783401.00000,30.50622707,30.18378179,29.90854385,29.66735358,29.35657269,29.03452679,28.73986150,28.45471471,28.18734169
88098301.00000,30.50622592,30.18378072,29.90854290,29.66735275,29.35657203,29.03452630,28.73986117,28.45471454,28.18734164
89413201.00000,30.50622516,30.18378001,29.90854226,29.66735220,29.35657159,29.03452597,28.73986096,28.45471442,28.18734161
90728101.00000,30.50622402,30.18377895,29.90854131,29.66735136,29.35657092,29.03452548,28.73986062,28.45471424,28.18734155
92043001.00000,30.50622327,30.18377824,29.90854068,29.66735081,29.35657047,29.03452515,28.73986040,28.45471412,28.18734152
93357901.00000,30.50622214,30.18377718,29.90853972,29.66734997,29.35656980,29.03452465,28.73986007,28.45471393,28.18734146
94672801.00000,30.50622139,30.18377648,29.90853909,29.66734941,29.35656935,29.03452432,28.73985985,28.45471381,28.18734143
95987701.00000,30.50622026,30.18377542,29.90853814,29.66734857,29.35656868,29.03452382,28.73985951,28.45471363,28.18734137
97302601.00000,30.50621952,30.18377472,29.90853751,29.66734801,29.35656823,29.03452348,28.73985928,28.45471350,28.18734134
98617501.00000,30.50621839,30.18377367,29.90853655,29.66734717,29.35656755,29.03452298,28.73985894,28.45471332,28.18734128
99932401.00000,30.50621765,30.18377297,29.90853592,29.66734662,29.35656710,29.03452264,28.73985872,28.45471319,28.18734124
101247301.0000,30.50621654,30.18377192,29.90853497,29.66734577,29.35656641,29.03452213,28.73985837,28.45471301,28.18734119
102562201.0000,30.50621580,30.18377122,29.90853434,29.66734521,29.35656596,29.03452179,28.73985815,28.45471288,28.18734115
103877101.0000,30.50621469,30.18377018,29.90853339,29.66734437,29.35656527,29.03452128,28.73985780,28.45471269,28.18734110
105192001.0000,30.50621396,30.18376949,29.90853276,29.66734381,29.35656482,29.03452094,28.73985757,28.45471257,28.18734106
106506901.0000,30.50621285,30.18376844,29.90853181,29.66734297,29.35656413,29.03452043,28.73985722,28.45471238,28.18734100
107821801.0000,30.50621212,30.18376775,29.90853118,29.66734241,29.35656367,29.03452008,28.73985699,28.45471225,28.18734096
109136701.0000,30.50621102,30.18376671,29.90853023,29.66734156,29.35656298,29.03451957,28.73985664,28.45471206,28.18734091
110451601.0000,30.50621030,30.18376603,29.90852961,29.66734100,29.35656253,29.03451923,28.73985641,28.45471193,28.18734087
111766501.0000,30.50620920,30.18376499,29.90852866,29.66734016,29.35656184,29.03451871,28.73985606,28.45471174,28.18734081
113081401.0000,30.50620849,30.18376431,29.90852804,29.66733960,29.35656138,29.03451836,28.73985582,28.45471161,28.18734077
114396301.0000,30.50620740,30.18376327,29.90852709,29.66733875,29.35656068,29.03451784,28.73985547,28.45471142,28.18734072
115711201.0000,30.50620668,30.18376259,29.90852647,29.66733820,29.35656023,29.03451750,28.73985524,28.45471129,28.18734068
117026101.0000,30.50620559,30.18376156,29.90852552,29.66733735,29.35655953,29.03451697,28.73985488,28.45471109,28.18734062
118341001.0000,30.50620488,30.18376089,29.90852490,29.66733680,29.35655908,29.03451663,28.73985465,28.45471097,28.18734058
119655901.0000,30.50620380,30.18375986,29.90852396,29.66733595,29.35655838,29.03451611,28.73985429,28.45471077,28.18734053
120970801.0000,30.50620310,30.18375919,29.90852334,29.66733540,29.35655792,29.03451576,28.73985406,28.45471064,28.18734049
122285701.0000,30.50620202,30.18375816,29.90852240,29.66733455,29.35655723,29.03451524,28.73985370,28.45471045,28.18734043
123600601.0000,30.50620132,30.18375750,29.90852179,29.66733400,29.35655677,29.03451489,28.73985347,28.45471032,28.18734039
124915501.0000,30.50620025,30.18375648,29.90852085,29.66733316,29.35655607,29.03451437,28.73985311,28.45471012,28.18734033
126230401.0000,30.50619955,30.18375581,29.90852023,29.66733260,29.35655562,29.03451402,28.73985288,28.45470999,28.18734030
127545301.0000,30.50619848,30.18375479,29.90851930,29.66733176,29.35655492,29.03451350,28.73985252,28.45470980,28.18734024
128860201.0000,30.50619779,30.18375413,29.90851869,29.66733121,29.35655447,29.03451315,28.73985228,28.45470967,28.18734020
130175101.0000,30.50619673,30.18375312,29.90851775,29.66733037,29.35655377,29.03451262,28.73985192,28.45470947,28.18734014
131490001.0000,30.50619604,30.18375246,29.90851714,29.66732982,29.35655331,29.03451228,28.73985169,28.45470934,28.18734010
132804901.0000,30.50619498,30.18375145,29.90851621,29.66732898,29.35655262,29.03451175,28.73985133,28.45470914,28.18734004
134119801.0000,30.50619429,30.18375079,29.90851561,29.66732843,29.35655216,29.03451141,28.73985110,28.45470901,28.18734000
135434701.0000,30.50619324,30.18374979,29.90851468,29.66732760,29.35655147,29.03451088,28.73985074,28.45470882,28.18733995
136749601.0000,30.50619256,30.18374913,29.90851407,29.66732705,29.35655102,29.03451054,28.73985050,28.45470869,28.18733991
138064501.0000,30.50619151,30.18374813,29.90851315,29.66732621,29.35655032,29.03451001,28.73985014,28.45470849,28.18733985
139379401.0000,30.50619083,30.18374748,29.90851254,29.66732567,29.35654987,29.03450967,28.73984991,28.45470836,28.18733981
140694301.0000,30.50618979,30.18374649,29.90851162,29.66732484,29.35654917,29.03450914,28.73984955,28.45470816,28.18733975
142009201.0000,30.50618911,30.18374584,29.90851102,29.66732429,29.35654872,29.03450880,28.73984932,28.45470804,28.18733971
143324101.0000,30.50618807,30.18374484,29.90851010,29.66732346,29.35654803,29.03450827,28.73984896,28.45470784,28.18733966
144639001.0000,30.50618740,30.18374420,29.90850950,29.66732292,29.35654758,29.03450793,28.73984872,28.45470771,28.18733962
145953901.0000,30.50618637,30.18374321,29.90850859,29.66732209,29.35654689,29.03450741,28.73984836,28.45470751,28.18733956
147268801.0000,30.50618570,30.18374257,29.90850799,29.66732155,29.35654644,29.03450706,28.73984813,28.45470738,28.18733952
148583701.0000,30.50618467,30.18374158,29.90850708,29.66732072,29.35654575,29.03450654,28.73984777,28.45470719,28.18733946
149898601.0000,30.50618401,30.18374095,29.90850649,29.66732019,29.35654530,29.03450620,28.73984754,28.45470706,28.18733942
151213501.0000,30.50618298,30.18373996,29.90850557,29.66731936,29.35654461,29.03450567,28.73984718,28.45470686,28.18733936
152528401.0000,30.50618232,30.18373933,29.90850498,29.66731882,29.35654416,29.03450533,28.73984695,28.45470673,28.18733933
153843301.0000,30.50618130,30.18373835,29.90850408,29.66731800,29.35654348,29.03450481,28.73984659,28.45470654,28.18733927
155158201.0000,30.50618064,30.18373772,29.90850349,29.66731747,29.35654303,29.03450447,28.73984636,28.45470641,28.18733923
156473101.0000,30.50617963,30.18373675,29.90850258,29.66731665,29.35654234,29.03450395,28.73984600,28.45470621,28.18733917
157788001.0000,30.50617897,30.18373612,29.90850200,29.66731612,29.35654190,29.03450361,28.73984577,28.45470608,28.18733913
159102901.0000,30.50617796,30.18373515,29.90850110,29.66731530,29.35654122,29.03450309,28.73984541,28.45470589,28.18733908
160417801.0000,30.50617731,30.18373452,29.90850052,29.66731477,29.35654077,29.03450275,28.73984518,28.45470576,28.18733904
161732701.0000,30.50617631,30.18373356,29.90849962,29.66731395,29.35654009,29.03450223,28.73984482,28.45470556,28.18733898
163047601.0000,30.50617566,30.18373293,29.90849904,29.66731343,29.35653965,29.03450190,28.73984459,28.45470544,28.18733894
164362501.0000,30.50617466,30.18373197,29.90849814,29.66731261,29.35653897,29.03450138,28.73984424,28.45470524,28.18733888
165677401.0000,30.50617401,30.18373135,29.90849757,29.66731209,29.35653853,29.03450104,28.73984401,28.45470511,28.18733885
166992301.0000,30.50617302,30.18373040,29.90849667,29.66731128,29.35653785,29.03450052,28.73984365,28.45470492,28.18733879
168307201.0000,30.50617237,30.18372978,29.90849610,29.66731075,29.35653741,29.03450019,28.73984343,28.45470479,28.18733875
169622101.0000,30.50617138,30.18372882,29.90849521,29.66730995,29.35653674,29.03449967,28.73984307,28.45470460,28.18733869
170937001.0000,30.50617074,30.18372821,29.90849464,29.66730943,29.35653630,29.03449934,28.73984284,28.45470447,28.18733865
172251901.0000,30.50616976,30.18372726,29.90849375,29.66730862,29.35653562,29.03449883,28.73984249,28.45470428,28.18733860
173566801.0000,30.50616912,30.18372665,29.90849318,29.66730810,29.35653519,29.03449849,28.73984226,28.45470415,28.18733856
174881701.0000,30.50616814,30.18372571,29.90849230,29.66730730,29.35653452,29.03449798,28.73984191,28.45470396,28.18733850
176196601.0000,30.50616751,30.18372510,29.90849174,29.66730678,29.35653408,29.03449765,28.73984168,28.45470383,28.18733846
177511501.0000,30.50616653,30.18372416,29.90849086,29.66730598,29.35653341,29.03449714,28.73984133,28.45470364,28.18733841
178826401.0000,30.50616590,30.18372355,29.90849029,29.66730547,29.35653298,29.03449681,28.73984111,28.45470351,28.18733837
180141301.0000,30.50616493,30.18372261,29.90848942,29.66730467,29.35653231,29.03449630,28.73984076,28.45470332,28.18733831
181456201.0000,30.50616430,30.18372201,29.90848886,29.66730416,29.35653188,29.03449597,28.73984053,28.45470320,28.18733827
182771101.0000,30.50616333,30.18372108,29.90848798,29.66730337,29.35653122,29.03449546,28.73984018,28.45470300,28.18733822
184086001.0000,30.50616271,30.18372048,29.90848743,29.66730286,29.35653079,29.03449513,28.73983996,28.45470288,28.18733818
185400901.0000,30.50616174,30.18371955,29.90848656,29.66730207,29.35653012,29.03449462,28.73983961,28.45470269,28.18733812
186715801.0000,30.50616112,30.18371895,29.90848600,29.66730156,29.35652970,29.03449430,28.73983939,28.45470256,28.18733809
188030701.0000,30.50616016,30.18371803,29.90848514,29.66730077,29.35652903,29.03449379,28.73983904,28.45470237,28.18733803
189345601.0000,30.50615955,30.18371743,29.90848458,29.66730027,29.35652861,29.03449347,28.73983881,28.45470225,28.18733799
190660501.0000,30.50615859,30.18371651,29.90848372,29.66729948,29.35652795,29.03449296,28.73983847,28.45470206,28.18733794
191975401.0000,30.50615798,30.18371592,29.90848317,29.66729898,29.35652753,29.03449264,28.73983825,28.45470194,28.18733790
193290301.0000,30.50615702,30.18371500,29.90848231,29.66729820,29.35652687,29.03449213,28.73983790,28.45470175,28.18733784
194605201.0000,30.50615641,30.18371442,29.90848177,29.66729770,29.35652645,29.03449181,28.73983768,28.45470162,28.18733781
195920101.0000,30.50615546,30.18371350,29.90848091,29.66729692,29.35652579,29.03449131,28.73983734,28.45470143,28.18733775
197235001.0000,30.50615486,30.18371292,29.90848036,29.66729642,29.35652538,29.03449099,28.73983712,28.45470131,28.18733771
198549901.0000,30.50615391,30.18371201,29.90847951,29.66729564,29.35652472,29.03449049,28.73983677,28.45470112,28.18733766
199864801.0000,30.50615331,30.18371143,29.90847897,29.66729515,29.35652430,29.03449017,28.73983655,28.45470100,28.18733762
201179701.0000,30.50615237,30.18371052,29.90847812,29.66729437,29.35652365,29.03448967,28.73983621,28.45470081,28.18733756
202494601.0000,30.50615177,30.18370994,29.90847758,29.66729388,29.35652324,29.03448936,28.73983599,28.45470069,28.18733753
203809501.0000,30.50615083,30.18370904,29.90847674,29.66729311,29.35652259,29.03448886,28.73983565,28.45470050,28.18733747
205124401.0000,30.50615024,30.18370846,29.90847620,29.66729262,29.35652218,29.03448854,28.73983543,28.45470038,28.18733744
206439301.0000,30.50614930,30.18370756,29.90847536,29.66729185,29.35652153,29.03448805,28.73983509,28.45470020,28.18733738
207754201.0000,30.50614871,30.18370699,29.90847482,29.66729136,29.35652112,29.03448773,28.73983488,28.45470008,28.18733735
209069101.0000,30.50614778,30.18370610,29.90847399,29.66729060,29.35652047,29.03448724,28.73983454,28.45469989,28.18733729
210384001.0000,30.50614719,30.18370553,29.90847345,29.66729011,29.35652007,29.03448693,28.73983432,28.45469977,28.18733725
211698901.0000,30.50614627,30.18370463,29.90847262,29.66728935,29.35651942,29.03448643,28.73983398,28.45469958,28.18733720
213013801.0000,30.50614568,30.18370407,29.90847209,29.66728886,29.35651902,29.03448612,28.73983377,28.45469947,28.18733716
