time,RIVERLOSS
1.000000000000,.3000000000000000E+31
1314901.000000,.3000000000000000E+31
2629801.000000,.3000000000000000E+31
3944701.000000,.3000000000000000E+31
5259601.000000,.3000000000000000E+31
6574501.000000,.3000000000000000E+31
7889401.000000,.3000000000000000E+31
9204301.000000,.3000000000000000E+31
10519201.00000,.3000000000000000E+31
11834101.00000,.3000000000000000E+31
13149001.00000,.3000000000000000E+31
14463901.00000,.3000000000000000E+31
15778801.00000,.3000000000000000E+31
17093701.00000,.3000000000000000E+31
18408601.00000,.3000000000000000E+31
19723501.00000,.3000000000000000E+31
21038401.00000,.3000000000000000E+31
22353301.00000,.3000000000000000E+31
23668201.00000,.3000000000000000E+31
24983101.00000,.3000000000000000E+31
26298001.00000,.3000000000000000E+31
27612901.00000,.3000000000000000E+31
28927801.00000,.3000000000000000E+31
30242701.00000,.3000000000000000E+31
31557601.00000,.3000000000000000E+31
32872501.00000,.3000000000000000E+31
34187401.00000,.3000000000000000E+31
35502301.00000,.3000000000000000E+31
36817201.00000,.3000000000000000E+31
38132101.00000,.3000000000000000E+31
39447001.00000,.3000000000000000E+31
40761901.00000,.3000000000000000E+31
42076801.00000,.3000000000000000E+31
43391701.00000,.3000000000000000E+31
44706601.00000,.3000000000000000E+31
46021501.00000,.3000000000000000E+31
47336401.00000,.3000000000000000E+31
48651301.00000,.3000000000000000E+31
49966201.00000,.3000000000000000E+31
51281101.00000,.3000000000000000E+31
52596001.00000,.3000000000000000E+31
53910901.00000,.3000000000000000E+31
55225801.00000,.3000000000000000E+31
56540701.00000,.3000000000000000E+31
57855601.00000,.3000000000000000E+31
59170501.00000,.3000000000000000E+31
60485401.00000,.3000000000000000E+31
61800301.00000,.3000000000000000E+31
63115201.00000,.3000000000000000E+31
64430101.00000,.3000000000000000E+31
65745001.00000,.3000000000000000E+31
67059901.00000,.3000000000000000E+31
68374801.00000,.3000000000000000E+31
69689701.00000,.3000000000000000E+31
71004601.00000,.3000000000000000E+31
72319501.00000,.3000000000000000E+31
73634401.00000,.3000000000000000E+31
74949301.00000,.3000000000000000E+31
76264201.00000,.3000000000000000E+31
77579101.00000,.3000000000000000E+31
78894001.00000,.3000000000000000E+31
80208901.00000,.3000000000000000E+31
81523801.00000,.3000000000000000E+31
82838701.00000,.3000000000000000E+31
84153601.00000,.3000000000000000E+31
85468501.00000,.3000000000000000E+31
86783401.00000,.3000000000000000E+31
88098301.00000,.3000000000000000E+31
89413201.00000,.3000000000000000E+31
90728101.00000,.3000000000000000E+31
92043001.00000,.3000000000000000E+31
93357901.00000,.3000000000000000E+31
94672801.00000,.3000000000000000E+31
95987701.00000,.3000000000000000E+31
97302601.00000,.3000000000000000E+31
98617501.00000,.3000000000000000E+31
99932401.00000,.3000000000000000E+31
101247301.0000,.3000000000000000E+31
102562201.0000,.3000000000000000E+31
103877101.0000,.3000000000000000E+31
105192001.0000,.3000000000000000E+31
106506901.0000,.3000000000000000E+31
107821801.0000,.3000000000000000E+31
109136701.0000,.3000000000000000E+31
110451601.0000,.3000000000000000E+31
111766501.0000,.3000000000000000E+31
113081401.0000,.3000000000000000E+31
114396301.0000,.3000000000000000E+31
115711201.0000,.3000000000000000E+31
117026101.0000,.3000000000000000E+31
118341001.0000,.3000000000000000E+31
119655901.0000,.3000000000000000E+31
120970801.0000,.3000000000000000E+31
122285701.0000,.3000000000000000E+31
123600601.0000,.3000000000000000E+31
124915501.0000,.3000000000000000E+31
126230401.0000,.3000000000000000E+31
127545301.0000,.3000000000000000E+31
128860201.0000,.3000000000000000E+31
130175101.0000,.3000000000000000E+31
131490001.0000,.3000000000000000E+31
132804901.0000,.3000000000000000E+31
134119801.0000,.3000000000000000E+31
135434701.0000,.3000000000000000E+31
136749601.0000,.3000000000000000E+31
138064501.0000,.3000000000000000E+31
139379401.0000,.3000000000000000E+31
140694301.0000,.3000000000000000E+31
142009201.0000,.3000000000000000E+31
143324101.0000,.3000000000000000E+31
144639001.0000,.3000000000000000E+31
145953901.0000,.3000000000000000E+31
147268801.0000,.3000000000000000E+31
148583701.0000,.3000000000000000E+31
149898601.0000,.3000000000000000E+31
151213501.0000,.3000000000000000E+31
152528401.0000,.3000000000000000E+31
153843301.0000,.3000000000000000E+31
155158201.0000,.3000000000000000E+31
156473101.0000,.3000000000000000E+31
157788001.0000,.3000000000000000E+31
159102901.0000,.3000000000000000E+31
160417801.0000,.3000000000000000E+31
161732701.0000,.3000000000000000E+31
163047601.0000,.3000000000000000E+31
164362501.0000,.3000000000000000E+31
165677401.0000,.3000000000000000E+31
166992301.0000,.3000000000000000E+31
168307201.0000,.3000000000000000E+31
169622101.0000,.3000000000000000E+31
170937001.0000,.3000000000000000E+31
172251901.0000,.3000000000000000E+31
173566801.0000,.3000000000000000E+31
174881701.0000,.3000000000000000E+31
176196601.0000,.3000000000000000E+31
177511501.0000,.3000000000000000E+31
